Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
0.0419285065916328,0.014552156568328607,0.07606278199051918,0.19164533780301207,0.23794773166355793,0.9042966485234961,0.12506794468683768,1.1743593755479123
0.001249575115382943,0.14514370644597277,0.05238004122790433,0.23385533349247184,0.22071761942440787,0.6593676363696487,0.012691728436493431,1.0844077546059452
0.033569702616646914,0.05041770028715148,0.11916466984211915,0.46345630693458134,0.30290882895901783,1.1802913512180657,0.21400555729784956,4.995445361466947
0.09674249821642578,0.17379642700771472,0.15303757343319796,0.5421296373562173,0.5292703281148587,2.505968496059092,0.06900287621070328,4.885351381069136
0.17468264379402046,0.18404871044286694,0.19918943070942777,0.014168220787989724,0.4573131496408938,0.975459849313002,0.20470496095770477,1.072296249313712
0.05147652363044012,0.03418453585415088,0.018051165147985188,0.24095719995463288,0.40150626473384393,2.3701363482436384,0.01785811486454279,0.8748295873823206
0.010198884744703995,0.22314704798834206,0.16672292005819483,0.3442031293700605,0.7157956643798399,0.9231311393800228,0.07308253691878953,1.0138707549010377
0.04996868402812354,0.001037188370799629,0.10022848001077825,0.3333344394467838,0.6129369593197824,1.0321104253079685,0.038529816990784456,0.9597153067767598
0.08664851969951824,0.2427901606104684,0.1199485531926453,0.19738825518808512,0.5549432197682427,2.167471237832391,0.01147355957130728,5.112585236850555
0.05419180628765219,0.2503793638231951,0.0626919776062933,0.14229936933217466,0.5455459329591948,0.9678956997399745,0.06882894053940561,1.0530208856368777
0.03908802405107788,0.14171017497773697,0.12025312603664015,0.33150315669781066,0.3843097600870004,0.8323223729084558,0.060331605939473544,1.1896963292533378
0.10945504699276304,0.15178987501591862,0.10267229016245574,0.30512147742225343,0.6069552201978081,2.256721133454218,0.055661204277183365,5.118808137013291
0.1049054466432265,0.0014644013589501324,0.1603806172338294,0.2746125233391464,0.3584837448502796,0.8747224281353148,0.0310121730725803,1.2137571978159936
0.1835842319405471,0.32125783639385935,0.016530532029793366,0.41115519180608195,0.6833836943007291,2.214574493476056,0.11226006947176172,5.112449173659262
0.14661542666998395,0.13186130782288774,0.29233058521604943,0.20129260816994188,0.3460890454690723,0.9871317744309364,0.07260125345943008,0.9028281343716498
0.07934666484448802,0.23807436343424504,0.09743869374645772,0.42909855322125895,0.4160024733492375,0.9364144352100725,0.13057471688099195,1.1372856777595548
0.07615972464549477,0.1882985565945827,0.14365429250475864,0.03043645632916088,0.4892118827501802,0.8807921645656668,0.04571100626820449,5.0902621711811
0.054543440812934225,0.2892290759966065,0.016035632631237813,0.20743113671451605,0.5036469021312261,1.1154313751042915,0.13366958755589534,0.9671176874668453
0.10014100796082999,0.13291698450919262,0.03581631273032545,0.4313217450182786,0.7380091098538387,2.431595336242377,0.06390870375431344,4.840749041199119
